iter	Passed	Remaining
0	1	1295
1	2	1184
2	3	1151
3	4	1145
4	5	1103
5	6	1081
6	7	1059
7	8	1039
8	9	1018
9	10	998
10	11	995
11	11	985
12	12	979
13	13	985
14	15	987
15	16	989
16	17	996
17	18	998
18	19	1000
19	20	998
20	21	1006
21	22	1001
22	23	992
23	24	988
24	25	987
25	26	984
26	27	979
27	28	991
28	29	992
29	30	990
30	31	983
31	32	975
32	33	967
33	33	961
34	34	954
35	36	970
36	37	975
37	38	973
38	39	973
39	40	970
40	41	965
41	42	963
42	43	962
43	44	963
44	45	962
45	46	959
46	47	957
47	48	956
48	49	960
49	50	958
50	51	959
51	52	957
52	53	959
53	54	958
54	55	959
55	56	956
56	57	956
57	59	958
58	60	957
59	60	955
60	62	956
61	63	958
62	64	955
63	65	952
64	66	951
65	67	949
66	67	946
67	68	940
68	69	934
69	69	929
70	70	923
71	71	918
72	71	913
73	72	908
74	73	907
75	74	910
76	75	908
77	76	907
78	77	906
79	78	904
80	79	902
81	80	902
82	81	895
83	81	891
84	82	889
85	83	885
86	84	881
87	84	878
88	85	873
89	86	869
90	86	865
91	87	861
92	88	859
93	89	861
94	90	860
95	91	858
96	91	855
97	92	852
98	93	849
99	94	846
100	94	843
101	95	840
102	96	836
103	96	833
104	97	830
105	98	827
106	98	824
107	99	820
108	99	817
109	100	814
110	101	812
111	101	808
112	102	805
113	103	806
114	104	807
115	105	805
116	106	802
117	107	800
118	107	798
119	108	795
120	109	794
121	109	791
122	110	788
123	111	788
124	112	785
125	112	782
126	113	778
127	113	776
128	114	773
129	115	771
130	115	768
131	116	765
132	117	763
133	117	760
134	119	763
135	120	763
136	121	762
137	122	762
138	122	760
139	123	758
140	124	756
141	124	752
142	125	750
143	125	748
144	126	745
145	127	743
146	127	740
147	128	738
148	129	737
149	129	735
150	130	733
151	131	731
152	131	729
153	132	728
154	133	728
155	134	728
156	135	727
157	136	725
158	136	723
159	137	722
160	138	719
161	138	718
162	139	716
163	140	716
164	141	715
165	142	713
166	142	711
167	143	710
168	144	708
169	144	706
170	145	704
171	145	702
172	146	700
173	147	698
174	147	697
175	148	697
176	150	697
177	150	696
178	151	696
179	152	694
180	153	693
181	153	691
182	154	689
183	155	687
184	155	686
185	156	684
186	156	682
187	157	680
188	158	679
189	158	677
190	159	675
191	160	673
192	160	672
193	161	671
194	162	669
195	162	668
196	163	667
197	164	667
198	165	666
199	166	665
200	167	665
201	168	663
202	168	662
203	169	661
204	170	659
205	170	657
206	171	655
207	171	654
208	172	652
209	173	651
210	173	649
211	174	648
212	175	647
213	176	646
214	176	645
215	177	643
216	178	642
217	178	641
218	179	641
219	180	640
220	181	639
221	182	639
222	183	637
223	183	636
224	184	635
225	185	633
226	185	632
227	186	630
228	186	628
229	187	627
230	187	625
231	188	624
232	189	623
233	190	622
234	190	620
235	191	619
236	191	618
237	192	616
238	193	615
239	194	615
240	195	615
241	196	614
242	197	613
243	197	612
244	198	611
245	199	610
246	199	608
247	200	607
248	200	605
249	201	604
250	202	603
251	202	602
252	203	601
253	204	601
254	205	600
255	206	599
256	207	598
257	207	597
258	208	596
259	210	598
260	211	597
261	211	597
262	212	596
263	213	596
264	214	595
265	215	594
266	216	594
267	217	593
268	217	592
269	218	591
270	219	590
271	220	588
272	220	587
273	221	586
274	222	585
275	222	584
276	223	583
277	224	583
278	225	582
279	226	582
280	227	580
281	227	579
282	228	578
283	229	577
284	229	576
285	230	575
286	231	574
287	231	573
288	232	572
289	233	571
290	233	570
291	234	568
292	235	567
293	236	566
294	236	565
295	237	564
296	237	563
297	238	562
298	240	563
299	240	562
300	241	561
301	242	560
302	243	559
303	244	559
304	245	558
305	245	557
306	246	557
307	248	557
308	249	557
309	250	556
310	251	556
311	252	556
312	253	556
313	255	559
314	258	561
315	259	561
316	260	560
317	261	560
318	262	559
319	263	559
320	263	558
321	265	558
322	266	557
323	267	557
324	268	556
325	270	559
326	271	558
327	272	558
328	273	558
329	274	557
330	275	557
331	276	556
332	277	555
333	278	555
334	279	554
335	280	554
336	281	554
337	282	553
338	285	556
339	286	556
340	287	556
341	289	556
342	290	556
343	291	556
344	292	555
345	293	555
346	294	554
347	295	553
348	296	552
349	297	551
350	298	551
351	299	550
352	300	550
353	301	550
354	302	550
355	304	550
356	305	549
357	306	549
358	307	549
359	308	548
360	309	548
361	311	548
362	311	547
363	312	546
364	313	545
365	314	544
366	315	544
367	316	543
368	316	542
369	317	540
370	318	539
371	319	538
372	319	537
373	320	536
374	321	535
375	321	534
376	322	533
377	323	531
378	323	530
379	324	529
380	325	528
381	325	527
382	326	526
383	327	525
384	328	524
385	329	524
386	330	523
387	330	521
388	331	520
389	332	519
390	332	518
391	333	517
392	334	516
393	334	514
394	335	513
395	336	512
396	336	511
397	337	510
398	338	509
399	338	508
400	339	507
401	340	505
402	340	504
403	341	503
404	342	502
405	343	502
406	344	502
407	345	501
408	346	500
409	347	499
410	348	499
411	349	498
412	349	497
413	350	496
414	351	494
415	351	493
416	352	492
417	352	491
418	353	490
419	354	489
420	354	488
421	355	486
422	356	485
423	357	484
424	358	484
425	359	484
426	359	482
427	360	481
428	361	480
429	361	479
430	362	478
431	363	477
432	363	476
433	364	475
434	365	474
435	365	473
436	366	471
437	366	470
438	367	469
439	368	468
440	368	467
441	369	466
442	370	465
443	370	464
444	371	463
445	372	462
446	373	461
447	374	460
448	374	459
449	375	458
450	376	457
451	376	456
452	377	455
453	377	454
454	378	453
455	379	452
456	379	451
457	380	450
458	381	449
459	381	448
460	382	447
461	382	445
462	383	444
463	384	443
464	384	442
465	385	441
466	386	440
467	386	439
468	387	438
469	388	437
470	389	437
471	389	435
472	390	434
473	390	433
474	391	432
475	392	431
476	392	430
477	393	429
478	394	428
479	394	427
480	395	426
481	395	425
482	396	424
483	397	423
484	397	422
485	398	421
486	399	420
487	400	420
488	401	419
489	401	418
490	402	417
491	403	416
492	404	415
493	404	414
494	405	413
495	406	412
496	407	411
497	407	411
498	408	409
499	408	408
500	409	407
501	410	406
502	410	406
503	411	405
504	412	404
505	412	403
506	413	402
507	414	401
508	415	400
509	415	399
510	416	398
511	416	397
512	417	396
513	419	396
514	419	395
515	420	394
516	420	393
517	421	392
518	422	391
519	422	390
520	423	389
521	424	388
522	424	387
523	425	386
524	425	385
525	426	384
526	427	383
527	428	382
528	428	381
529	429	380
530	429	379
531	430	378
532	431	377
533	431	376
534	432	375
535	433	374
536	434	374
537	434	373
538	435	372
539	436	371
540	437	370
541	437	369
542	438	368
543	439	368
544	439	367
545	440	366
546	441	365
547	441	364
548	442	363
549	442	362
550	443	361
551	444	360
552	444	359
553	445	358
554	446	357
555	446	356
556	447	355
557	447	354
558	449	354
559	449	353
560	450	352
561	451	351
562	452	350
563	452	349
564	453	349
565	453	348
566	454	347
567	455	346
568	456	345
569	456	344
570	457	343
571	457	342
572	458	341
573	459	340
574	459	339
575	460	338
576	460	337
577	461	336
578	462	336
579	462	335
580	463	334
581	464	333
582	465	332
583	465	331
584	466	330
585	467	330
586	467	329
587	468	328
588	469	327
589	469	326
590	470	325
591	471	324
592	472	324
593	473	323
594	474	322
595	474	321
596	475	321
597	476	320
598	477	319
599	478	318
600	479	318
601	480	317
602	480	316
603	481	315
604	482	314
605	483	314
606	483	313
607	484	312
608	485	311
609	485	310
610	486	309
611	487	308
612	487	307
613	488	307
614	489	306
615	489	305
616	490	304
617	491	303
618	491	302
619	492	301
620	493	300
621	494	300
622	495	299
623	495	298
624	496	297
625	497	297
626	497	296
627	498	295
628	499	294
629	499	293
630	500	292
631	501	291
632	501	290
633	502	290
634	503	289
635	503	288
636	504	287
